iter	Passed	Remaining
0	84	84274
1	87	43475
2	90	29987
3	104	25967
4	107	21457
5	112	18576
6	115	16314
7	117	14610
8	124	13658
9	132	13121
10	134	12119
11	136	11239
12	141	10767
13	143	10084
14	144	9485
15	145	8956
16	147	8509
17	149	8159
18	150	7796
19	152	7487
20	154	7181
21	154	6878
22	155	6604
23	156	6360
24	157	6126
25	157	5908
26	158	5713
27	159	5528
28	160	5361
29	161	5226
30	162	5078
31	163	4958
32	164	4821
33	165	4699
34	165	4576
35	166	4462
36	167	4356
37	168	4254
38	169	4168
39	170	4092
40	181	4241
41	181	4150
42	182	4060
43	182	3976
44	183	3894
45	184	3818
46	184	3744
47	185	3672
48	185	3605
49	186	3539
50	187	3485
51	189	3453
52	190	3407
53	191	3351
54	191	3297
55	192	3244
56	193	3194
57	193	3145
58	194	3097
59	194	3049
60	195	3004
61	195	2961
62	196	2924
63	197	2886
64	200	2881
65	201	2855
66	203	2829
67	203	2793
68	205	2766
69	205	2735
70	206	2700
71	206	2665
72	207	2632
73	207	2599
74	208	2566
75	208	2536
76	212	2544
77	212	2517
78	213	2488
79	213	2459
80	214	2432
81	215	2407
82	215	2378
83	215	2354
84	216	2329
85	216	2305
86	217	2284
87	218	2261
88	220	2258
89	222	2247
90	223	2236
91	224	2217
92	225	2202
93	226	2185
94	227	2164
95	227	2143
96	228	2123
97	228	2103
98	228	2083
99	229	2064
100	229	2046
101	230	2030
102	231	2014
103	231	1997
104	233	1987
105	234	1979
106	235	1962
107	235	1946
108	236	1929
109	236	1913
110	237	1901
111	238	1888
112	247	1941
113	249	1938
114	252	1944
115	253	1929
116	253	1913
117	254	1902
118	256	1897
119	257	1885
120	257	1872
121	258	1858
122	258	1846
123	259	1833
124	260	1822
125	260	1809
126	261	1796
127	262	1789
128	263	1781
129	267	1788
130	267	1776
131	268	1763
132	268	1751
133	269	1739
134	269	1727
135	269	1715
136	270	1703
137	270	1692
138	271	1681
139	271	1670
140	272	1659
141	272	1647
142	273	1637
143	273	1627
144	274	1620
145	275	1611
146	275	1601
147	276	1593
148	278	1591
149	279	1581
150	279	1572
151	280	1562
152	280	1553
153	281	1544
154	281	1534
155	281	1525
156	282	1516
157	282	1507
158	283	1498
159	284	1493
160	284	1484
161	285	1476
162	286	1469
163	287	1465
164	288	1458
165	288	1450
166	289	1442
167	289	1436
168	290	1429
169	291	1422
170	292	1415
171	292	1409
172	293	1402
173	294	1396
174	294	1389
175	295	1382
176	295	1375
177	297	1373
178	298	1366
179	298	1361
180	299	1355
181	300	1349
182	300	1342
183	301	1336
184	301	1329
185	302	1323
186	302	1316
187	303	1309
188	303	1304
189	304	1299
190	306	1296
191	306	1290
192	310	1298
193	311	1293
194	312	1288
195	312	1282
196	313	1277
197	314	1272
198	314	1267
199	315	1261
200	315	1255
201	316	1249
202	316	1243
203	317	1237
204	317	1231
205	318	1226
206	318	1221
207	322	1228
208	323	1222
209	323	1216
210	324	1211
211	324	1206
212	325	1202
213	325	1196
214	326	1191
215	326	1185
216	327	1180
217	327	1175
218	328	1170
219	329	1168
220	330	1163
221	334	1171
222	334	1166
223	335	1162
224	336	1157
225	336	1152
226	337	1148
227	337	1143
228	338	1139
229	338	1134
230	339	1130
231	340	1125
232	340	1121
233	341	1116
234	341	1112
235	342	1108
236	343	1105
237	344	1102
238	345	1098
239	345	1094
240	346	1090
241	346	1085
242	347	1081
243	347	1077
244	348	1072
245	348	1068
246	349	1064
247	349	1060
248	350	1056
249	355	1065
250	355	1061
251	356	1058
252	357	1055
253	358	1051
254	358	1048
255	359	1045
256	360	1043
257	362	1041
